rank,scaler,encoder,model,params,macro_f1,macro_f1_std,macro_recall,accuracy,fit_seconds
67,minmax,ordinal,GradientBoosting,"n_estimators=150, learning_rate=0.1, max_depth=3",0.6724095005166125,0.004472446230419533,0.6710477857232018,0.6967495998484061,21.972596645355225
68,standard,target,GradientBoosting,"n_estimators=150, learning_rate=0.1, max_depth=3",0.6717196304732642,0.007066195714576609,0.6718651366426686,0.6958744279245664,25.05387282371521
69,robust,ordinal,GradientBoosting,"n_estimators=150, learning_rate=0.1, max_depth=3",0.6712990483471736,0.006264589630740669,0.6703165948760725,0.6962501780300717,20.553356885910034
70,robust,target,GradientBoosting,"n_estimators=150, learning_rate=0.1, max_depth=3",0.6709380508452533,0.00967246872909453,0.6704911285440877,0.6958739122350891,25.399038076400757
71,standard,ordinal,GradientBoosting,"n_estimators=150, learning_rate=0.05, max_depth=3",0.6708590853639005,0.0042915761376399264,0.6710004517715648,0.6957500061179523,21.76201367378235
72,robust,ordinal,GradientBoosting,"n_estimators=150, learning_rate=0.05, max_depth=3",0.6706210294652967,0.00352123212347105,0.6703269529878435,0.6960000217527198,23.335918426513672
73,minmax,ordinal,DecisionTree,"max_depth=10, min_samples_leaf=20",0.6577684011245842,0.0029593045510709686,0.7018764661189807,0.6656253489694133,0.21567487716674805
74,robust,target,LogisticRegression,C=5.0,0.6572107856205451,0.005650425077863516,0.7031271846197504,0.6649997238717252,5.423590421676636
75,robust,target,LogisticRegression,C=1.0,0.6568907767513701,0.006059939941829191,0.7029888483479912,0.6646245363365588,5.530282258987427
76,robust,ordinal,DecisionTree,"max_depth=10, min_samples_leaf=20",0.6566986890665508,0.0022583079111854164,0.7017696551487119,0.6642503332994854,0.24675846099853516
77,standard,ordinal,DecisionTree,"max_depth=10, min_samples_leaf=20",0.6566986890665508,0.0022583079111854164,0.7017696551487119,0.6642503332994854,0.21793889999389648
78,standard,target,LogisticRegression,C=5.0,0.6562832479678478,0.006252634981604505,0.7016719068751978,0.6639995675709329,0.6630048751831055
79,minmax,target,LogisticRegression,C=5.0,0.6561954204274111,0.005544885815650486,0.7016085267333171,0.6639996144517945,0.7070159912109375
80,standard,target,LogisticRegression,C=1.0,0.6559427478501094,0.005971905039919351,0.7015176976620509,0.6637495519361655,0.5973818302154541
81,minmax,target,LogisticRegression,C=1.0,0.6552134401909466,0.006424763728374497,0.7015396685180683,0.6628745675357722,0.58213210105896
82,robust,onehot,LogisticRegression,C=5.0,0.6550411689961978,0.0055964375601226775,0.6999977513597152,0.6627498644439888,9.813133239746094
83,robust,onehot,LogisticRegression,C=0.1,0.6550303650001985,0.006077994716835947,0.7008274733388823,0.662499567524052,7.050534725189209
84,standard,onehot,LogisticRegression,C=5.0,0.6549741286266134,0.00535131022756784,0.6998389137421318,0.6627499113248504,0.24314069747924805
85,minmax,target,DecisionTree,"max_depth=10, min_samples_leaf=20",0.6549702358181048,0.008640277506820174,0.6996204008314554,0.6616265052389831,0.2777993679046631
